Number;Cell Line;Vector Name;Vector no.;Label (if divergent to col.1&2) /Clone no.;Date of Freezing;Frozen by;Additional Information
1;"U937 458 ""normal""";pMIAII;85;;40735;KS;"frisch gesortet! myco-; Infektion von KS am 4.7.2011"
2;"U937 53 ""normal""";pMIAII;85;;41239;SK;2nd freeze, first freeze (11.07.11 by KS)
3;"U937 53 ""normal""";pMIAII;85;;41239;SK;2nd freeze, first freeze (11.07.11 by KS)
4;"U937 458 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
5;"U937 458 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
6;"U937 458 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
7;U937;pBMN-IRES-eGFP;53;;41499;JET;cultured 15.07.13 - 13.08.13
8;U937;pBMN-IRES-eGFP;53;;41499;JET;cultured 15.07.13 - 13.08.13
9;"U937 53 ""normal""";pMIAII;85;;40722;KS;"gesortet; alle positiv; myco-"
10;"U937 53 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
11;"U937 53 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
12;"U937 53 ""normal""";pMIAII p21-cDNA;558;;40722;KS;"gesortet; alle positiv ,myco-"
13;"U937 53 ""normal""";pMIAII p21-cDNA;558;;40711;AR;SORT, 46,1% positive ,myco-
14;"U937 53 ""normal""";pMIAII p21-cDNA;558;;40711;AR;SORT, 46,1% positive ,myco-
15;"U937 458 ""normal""";pMIAII p21-cDNA;558;;40711;AR;SORT, 69,4% positive ,myco-
16;"U937 458 ""normal""";pMIAII p21-cDNA;558;;40711;AR;SORT, 69,4% positive ,myco-
17;"U937 458 ""normal""";pMIAII;85;;41239;SK;2nd freeze, first freeze (28.06.11 by KS)
18;"U937 458 ""normal""";pMIAII;85;;41239;SK;2nd freeze, first freeze (28.06.11 by KS)
19;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
20;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
21;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
22;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
23;"U937 458 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
24;"U937 458 ""normal""";pMIA II MS4A3-cDNA;556;;40716;KS; ,myco-
25;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 53 mit 556, myco-
26;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 53 mit 556, myco-
27;"U937 53 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 53 mit 556, myco-
28;"U937 458 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 458 mit 556, myco-
29;"U937 458 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 458 mit 556, myco-
30;"U937 458 ""normal""";pMIA II MS4A3-cDNA;556;;40711;KS;1. freeze nach AR Infektion von U937 458 mit 556, myco-
31;U937;pBMN-IRES-eGFP EVI1;458;;41499;JET;cultured 15.07.13 - 13.08.13
32;U937;pBMN-IRES-eGFP EVI1;458;;41499;JET;cultured 15.07.13 - 13.08.13
33;U937;pBMN-IRES-eGFP EVI1;458;;41499;JET;cultured 15.07.13 - 13.08.13
34;U937;pBMN-IRES-eGFP EVI1;458;;40147;AK; all weak GFP+, later vial was tested myco-
35;U937;pBMN-IRES-eGFP EVI1;458;;40108;AK;1.Sort (all weak GFP+, 5.5% ++) later vial was tested myco-
36;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;2.Sort GFP++ later vial was tested myco-
37;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;2.Sort GFP++ later vial was tested myco-
38;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;2.Sort GFP low (still EVI1 expressing) later vial was tested myco-
39;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;2.Sort GFP low (still EVI1 expressing) later vial was tested myco-
40;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;100% weak GFP+ later vial was tested myco-
41;U937;pBMN-IRES-eGFP EVI1;458;;40126;AK;100% weak GFP+ later vial was tested myco-
42;U937;pBMN-IRES-eGFP EVI1;458;;40540;AR;Working Stock,  parallel freeze tested mycoplasm free
43;U937;pBMN-IRES-eGFP;53;;40141;AK;later vial was tested myco-
44;U937;pBMN-IRES-eGFP;53;;40141;AK;later vial was tested myco-
45;U937;pBMN-IRES-eGFP;53;;41488;KS;" von den ersten freezes vom 24.11.09 von Anna Rommer; (later vial was tested myco-)"
46;U937;pBMN-IRES-eGFP;53;;41488;KS;" von den ersten freezes vom 24.11.09 von Anna Rommer; (later vial was tested myco-)"
47;;;;;;;
48;U937;pBMN-IRES-eGFP EVI1;458;;40154;AK;Working Stock,  parallel freeze tested mycoplasm free
49;U937;pBMN-IRES-eGFP EVI1;458;;41488;KS; vom Working Stock Anna vom 7.12.09,  parallel freeze tested mycoplasm free
50;U937;pBMN-IRES-eGFP EVI1;458;;41488;KS; vom Working Stock Anna vom 7.12.09,  parallel freeze tested mycoplasm free
51;;;;;;;
52;U937;pBMN-IRES-eGFP EVI1;458;;40134;AK;2.Sort GFP low (still EVI1 expressing) later vial was tested myco-
53;U937;pBMN-IRES-eGFP EVI1;458;;40134;AK;2.Sort GFP low later vial was tested myco-
54;U937;pBMN-IRES-eGFP;53;;40290;CN;1.Sort, U937 Cerny Lab, Phoenix from Stockinger Lab
55;U937 458;pMIA II MS4A3-cDNA/pMSCV-eGFP MS4A3short;556/591;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
56;U937 458;pMIA II MS4A3-cDNA/pMSCV-eGFP MS4A3short;556/591;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
57;U937 458;pMIA II MS4A3-cDNA/pMSCV-eGFP MS4A3short;556/591;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
